"Jaar","Benzine","Diesel","Hybrid","Totaal"
2002,167003,300444,0,467447
2003,145431,313157,0,458588
2004,145227,339266,0,484493
2005,130347,348618,471,479436
2006,132220,392328,889,525437
2007,118809,404302,1308,524419
2008,110953,422683,1877,535513
2009,115619,358412,1839,475870
2010,127396,415744,3924,547064
2011,134662,431060,6301,572023
2012,145640,335519,5311,486470
2013,164220,315217,6324,485761
2014,173228,299182,9476,481886
2015,189254,300322,10717,500293
2016,239319,279425,17707,536451
2017,263693,253322,26866,543881
2018,321886,195070,28511,545467
